Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,TUR,2016 Summer,Wrestling,Gold,25.0,192.0,125.0
F,URS,1980 Summer,Volleyball,Gold,18.0,181.0,80.0
F,RUS,1998 Winter,Biathlon,Silver,21.0,160.0,55.0
F,RUS,2002 Winter,Biathlon,Bronze,25.0,160.0,55.0
F,RUS,2006 Winter,Biathlon,Bronze,29.0,160.0,55.0
F,RUS,2006 Winter,Biathlon,Gold,29.0,160.0,55.0
M,UZB,2016 Summer,Boxing,Bronze,21.0,165.0,56.0
M,RUS,2016 Summer,Fencing,Gold,28.0,187.0,79.0
M,RUS,2008 Summer,Wrestling,Silver,21.0,190.0,120.0
M,BUL,1964 Summer,Wrestling,Silver,34.0,184.0,87.0
F,URS,1980 Summer,Hockey,Bronze,23.0,160.0,52.0
M,URS,1960 Summer,Rowing,Bronze,26.0,180.0,79.0
M,PAK,1968 Summer,Hockey,Gold,25.0,172.0,61.0
M,PAK,1984 Summer,Hockey,Gold,23.0,173.0,65.0
M,UGA,1972 Summer,Athletics,Gold,22.0,188.0,77.0
M,URS,1972 Summer,Water Polo,Gold,24.0,181.0,84.0
M,URS,1980 Summer,Water Polo,Gold,27.0,184.0,80.0
F,USA,2016 Summer,Athletics,Gold,22.0,163.0,61.0
F,USA,2012 Summer,Volleyball,Silver,24.0,191.0,79.0
F,USA,2016 Summer,Volleyball,Bronze,28.0,191.0,79.0
M,RUS,2004 Summer,Weightlifting,Silver,19.0,178.0,105.0
M,RUS,2008 Summer,Weightlifting,Bronze,23.0,178.0,105.0
F,RUS,2000 Summer,Water Polo,Bronze,25.0,165.0,57.0
M,NGR,2016 Summer,Football,Bronze,30.0,187.0,80.0
F,USA,2016 Summer,Fencing,Bronze,26.0,183.0,74.0
F,URS,1976 Summer,Athletics,Bronze,29.0,165.0,58.0
M,URS,1976 Summer,Athletics,Bronze,21.0,173.0,67.0
M,URS,1980 Summer,Athletics,Gold,25.0,173.0,67.0
M,RUS,1996 Summer,Rowing,Bronze,26.0,201.0,100.0
F,URS,1980 Summer,Swimming,Bronze,17.0,174.0,62.0
M,URS,1976 Summer,Sailing,Silver,23.0,192.0,88.0
M,SYR,2004 Summer,Boxing,Bronze,22.0,187.0,81.0
M,QAT,2012 Summer,Shooting,Bronze,41.0,178.0,82.0
M,KUW,2000 Summer,Shooting,Bronze,33.0,178.0,95.0
M,KUW,2012 Summer,Shooting,Bronze,45.0,178.0,95.0
M,IOA,2016 Summer,Shooting,Gold,49.0,178.0,95.0
M,KSA,2012 Summer,Equestrianism,Bronze,40.0,162.0,70.0
M,KSA,2000 Summer,Equestrianism,Bronze,31.0,175.0,57.0
M,PAK,1984 Summer,Hockey,Gold,25.0,170.0,63.0
M,UAE,2004 Summer,Shooting,Gold,40.0,175.0,67.0
M,IOA,2016 Summer,Shooting,Bronze,52.0,183.0,83.0
M,KSA,2012 Summer,Equestrianism,Bronze,27.0,178.0,69.0
M,KSA,2000 Summer,Athletics,Silver,23.0,191.0,72.0
F,ESP,2012 Summer,Sailing,Gold,26.0,164.0,55.0
M,URS,1964 Summer,Basketball,Silver,33.0,176.0,74.0
M,URS,1972 Summer,Wrestling,Silver,23.0,154.0,52.0
M,PAK,1956 Summer,Hockey,Silver,26.0,172.0,73.0
M,PAK,1960 Summer,Hockey,Gold,30.0,172.0,73.0
M,CRO,1992 Summer,Basketball,Silver,25.0,190.0,81.0
M,FIN,1994 Winter,Ice Hockey,Bronze,22.0,182.0,85.0
M,FIN,1960 Winter,Cross Country Skiing,Gold,30.0,174.0,67.0
M,ITA,1968 Summer,Sailing,Bronze,25.0,179.0,80.0
M,ITA,1992 Winter,Cross Country Skiing,Silver,31.0,187.0,84.0
