Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
Bronze,27.0,176.0,75.0
Silver,22.0,185.0,70.0
Bronze,26.0,186.0,72.0
Silver,33.0,179.0,75.0
Gold,21.0,185.0,81.0
Bronze,21.0,176.0,85.0
Silver,24.0,170.0,63.0
Bronze,25.0,152.0,48.0
Bronze,29.0,152.0,48.0
Silver,26.0,196.0,86.0
Bronze,29.0,174.0,70.0
Bronze,20.0,178.0,73.0
Silver,24.0,178.0,73.0
Gold,24.0,178.0,73.0
Bronze,24.0,178.0,73.0
Silver,28.0,178.0,73.0
Bronze,24.0,179.0,72.0
Bronze,28.0,179.0,72.0
Silver,28.0,179.0,72.0
Silver,32.0,179.0,72.0
Gold,26.0,177.0,64.0
Gold,27.0,178.0,100.0
Silver,23.0,175.0,70.0
Bronze,21.0,163.0,63.0
Silver,20.0,192.0,94.0
Bronze,31.0,178.0,63.0
Bronze,27.0,174.0,70.0
Bronze,31.0,174.0,70.0
Silver,26.0,172.0,65.0
Bronze,24.0,167.0,52.0
Silver,28.0,167.0,52.0
Bronze,22.0,162.0,52.0
Gold,26.0,162.0,52.0
Bronze,26.0,183.0,82.0
Silver,26.0,183.0,82.0
Gold,18.0,160.0,52.0
Gold,23.0,177.0,79.0
Gold,23.0,162.0,65.0
Gold,27.0,162.0,65.0
Bronze,27.0,181.0,98.0
Bronze,31.0,181.0,98.0
Bronze,31.0,181.0,98.0
Gold,28.0,162.0,76.0
Bronze,28.0,192.0,95.0
Silver,28.0,192.0,105.0
Gold,22.0,203.0,96.0
Silver,26.0,203.0,96.0
Gold,31.0,165.0,60.0
Gold,35.0,165.0,60.0
Silver,35.0,178.0,72.0
Gold,24.0,176.0,73.0
Gold,24.0,170.0,64.0
Silver,27.0,164.0,66.0
Bronze,28.0,188.0,82.0
Silver,31.0,165.0,52.0
Bronze,20.0,203.0,109.0
Gold,24.0,203.0,109.0
Gold,28.0,203.0,109.0
Gold,32.0,203.0,109.0
Bronze,22.0,173.0,54.0
Silver,40.0,173.0,73.0
Silver,26.0,170.0,52.0
Silver,29.0,168.0,59.0
Bronze,28.0,190.0,84.0
Gold,34.0,183.0,82.0
Silver,25.0,171.0,69.0
Silver,25.0,170.0,70.0
Bronze,29.0,170.0,70.0
Silver,28.0,198.0,88.0
Bronze,23.0,202.0,97.0
Silver,25.0,198.0,95.0
Bronze,36.0,180.0,95.0
Bronze,23.0,180.0,78.0
Silver,27.0,187.0,100.0
Silver,30.0,187.0,100.0
Bronze,25.0,179.0,79.0
Gold,20.0,193.0,83.0
Gold,25.0,184.0,84.0
Gold,32.0,167.0,64.0
Gold,36.0,167.0,64.0
Bronze,23.0,182.0,69.0
Silver,23.0,182.0,69.0
Gold,31.0,182.0,69.0
Silver,31.0,182.0,69.0
Bronze,26.0,167.0,63.0
Silver,20.0,170.0,71.0
Gold,24.0,170.0,71.0
Silver,28.0,170.0,71.0
Bronze,29.0,167.0,66.0
Gold,19.0,164.0,63.0
Gold,24.0,175.0,58.0
Bronze,28.0,175.0,58.0
Bronze,22.0,184.0,120.0
Gold,29.0,203.0,105.0
Silver,21.0,180.0,79.0
Bronze,21.0,192.0,86.0
Bronze,25.0,192.0,86.0
Bronze,24.0,172.0,62.0
Gold,24.0,172.0,62.0
Gold,28.0,172.0,62.0
Silver,32.0,172.0,62.0
Silver,23.0,174.0,67.0
Silver,25.0,174.0,67.0
Bronze,25.0,175.0,67.0
Gold,24.0,180.0,78.0
Silver,26.0,170.0,69.0
Silver,26.0,154.0,49.0
Silver,27.0,177.0,71.0
Silver,26.0,168.0,65.0
Gold,30.0,182.0,86.0
Bronze,21.0,170.0,59.0
Gold,21.0,170.0,59.0
Gold,22.0,180.0,80.0
Gold,26.0,180.0,80.0
Gold,30.0,180.0,80.0
Gold,26.0,170.0,72.0
Gold,22.0,165.0,62.0
Bronze,21.0,170.0,77.0
Silver,27.0,178.0,73.0
Silver,30.0,163.0,69.0
Silver,26.0,186.0,92.0
Bronze,28.0,180.0,62.0
Bronze,27.0,164.0,64.0
Gold,24.0,164.0,50.0
Bronze,27.0,186.0,78.0
Gold,22.0,173.0,67.0
Silver,20.0,184.0,75.0
Silver,21.0,178.0,98.0
Silver,23.0,211.0,120.0
Silver,27.0,211.0,120.0
Silver,29.0,180.0,82.0
Bronze,30.0,167.0,60.0
Gold,32.0,167.0,67.0
Bronze,18.0,179.0,75.0
Gold,22.0,179.0,75.0
Gold,26.0,179.0,75.0
Silver,26.0,179.0,75.0
Silver,25.0,174.0,70.0
Silver,28.0,170.0,64.0
Silver,27.0,170.0,72.0
Silver,21.0,178.0,68.0
Silver,23.0,204.0,96.0
Gold,25.0,180.0,71.0
